pupil_size,pupil_diameter_mm
-1.5000,4.0268
-1.4900,4.0386
-1.4800,4.0503
-1.4700,4.0620
-1.4600,4.0738
-1.4500,4.0855
-1.4400,4.0973
-1.4300,4.1090
-1.4200,4.1231
-1.4100,4.1348
-1.4000,4.1466
-1.3900,4.1607
-1.3800,4.1724
-1.3700,4.1841
-1.3600,4.1982
-1.3500,4.2100
-1.3400,4.2241
-1.3300,4.2358
-1.3200,4.2499
-1.3100,4.2616
-1.3000,4.2757
-1.2900,4.2874
-1.2800,4.3015
-1.2700,4.3156
-1.2600,4.3274
-1.2500,4.3415
-1.2400,4.3555
-1.2300,4.3696
-1.2200,4.3837
-1.2100,4.3955
-1.2000,4.4095
-1.1900,4.4236
-1.1800,4.4377
-1.1700,4.4518
-1.1600,4.4659
-1.1500,4.4800
-1.1400,4.4941
-1.1300,4.5105
-1.1200,4.5246
-1.1100,4.5387
-1.1000,4.5528
-1.0900,4.5669
-1.0800,4.5833
-1.0700,4.5974
-1.0600,4.6115
-1.0500,4.6279
-1.0400,4.6420
-1.0300,4.6584
-1.0200,4.6725
-1.0100,4.6890
-1.0000,4.7030
-0.9900,4.7195
-0.9800,4.7359
-0.9700,4.7500
-0.9600,4.7664
-0.9500,4.7829
-0.9400,4.7993
-0.9300,4.8157
-0.9200,4.8298
-0.9100,4.8463
-0.9000,4.8627
-0.8900,4.8791
-0.8800,4.8956
-0.8700,4.9120
-0.8600,4.9285
-0.8500,4.9472
-0.8400,4.9637
-0.8300,4.9801
-0.8200,4.9965
-0.8100,5.0153
-0.8000,5.0318
-0.7900,5.0482
-0.7800,5.0670
-0.7700,5.0834
-0.7600,5.1022
-0.7500,5.1186
-0.7400,5.1374
-0.7300,5.1539
-0.7200,5.1726
-0.7100,5.1914
-0.7000,5.2079
-0.6900,5.2266
-0.6800,5.2454
-0.6700,5.2642
-0.6600,5.2830
-0.6500,5.2994
-0.6400,5.3182
-0.6300,5.3370
-0.6200,5.3558
-0.6100,5.3746
-0.6000,5.3957
-0.5900,5.4145
-0.5800,5.4333
-0.5700,5.4521
-0.5600,5.4708
-0.5500,5.4920
-0.5400,5.5108
-0.5300,5.5295
-0.5200,5.5507
-0.5100,5.5695
-0.5000,5.5906
-0.4900,5.6094
-0.4800,5.6305
-0.4700,5.6493
-0.4600,5.6704
-0.4500,5.6916
-0.4400,5.7103
-0.4300,5.7315
-0.4200,5.7526
-0.4100,5.7737
-0.4000,5.7949
-0.3900,5.8136
-0.3800,5.8348
-0.3700,5.8559
-0.3600,5.8770
-0.3500,5.8982
-0.3400,5.9193
-0.3300,5.9404
-0.3200,5.9616
-0.3100,5.9851
-0.3000,6.0062
-0.2900,6.0273
-0.2800,6.0484
-0.2700,6.0696
-0.2600,6.0931
-0.2500,6.1142
-0.2400,6.1353
-0.2300,6.1588
-0.2200,6.1799
-0.2100,6.2034
-0.2000,6.2245
-0.1900,6.2480
-0.1800,6.2692
-0.1700,6.2926
-0.1600,6.3138
-0.1500,6.3373
-0.1400,6.3584
-0.1300,6.3819
-0.1200,6.4030
-0.1100,6.4265
-0.1000,6.4500
-0.0900,6.4711
-0.0800,6.4946
-0.0700,6.5180
-0.0600,6.5415
-0.0500,6.5627
-0.0400,6.5861
-0.0300,6.6096
-0.0200,6.6331
-0.0100,6.6542
0.0000,6.6777
0.0100,6.7012
0.0200,6.7247
0.0300,6.7482
0.0400,6.7716
0.0500,6.7928
0.0600,6.8162
0.0700,6.8397
0.0800,6.8632
0.0900,6.8867
0.1000,6.9102
0.1100,6.9313
0.1200,6.9548
0.1300,6.9783
0.1400,7.0017
0.1500,7.0252
0.1600,7.0487
0.1700,7.0698
0.1800,7.0933
0.1900,7.1168
0.2000,7.1403
0.2100,7.1637
0.2200,7.1849
0.2300,7.2084
0.2400,7.2318
0.2500,7.2553
0.2600,7.2765
0.2700,7.2999
0.2800,7.3234
0.2900,7.3445
0.3000,7.3680
0.3100,7.3892
0.3200,7.4126
0.3300,7.4361
0.3400,7.4572
0.3500,7.4807
0.3600,7.5019
0.3700,7.5253
0.3800,7.5465
0.3900,7.5676
0.4000,7.5911
0.4100,7.6122
0.4200,7.6357
0.4300,7.6568
0.4400,7.6780
0.4500,7.6991
0.4600,7.7226
0.4700,7.7437
0.4800,7.7648
0.4900,7.7860
0.5000,7.8071
0.5100,7.8282
0.5200,7.8494
0.5300,7.8705
0.5400,7.8916
0.5500,7.9128
0.5600,7.9315
0.5700,7.9527
0.5800,7.9738
0.5900,7.9949
0.6000,8.0137
0.6100,8.0349
0.6200,8.0560
0.6300,8.0748
0.6400,8.0959
0.6500,8.1147
0.6600,8.1335
0.6700,8.1546
0.6800,8.1734
0.6900,8.1922
0.7000,8.2133
0.7100,8.2321
0.7200,8.2509
0.7300,8.2697
0.7400,8.2884
0.7500,8.3072
0.7600,8.3260
0.7700,8.3448
0.7800,8.3636
0.7900,8.3800
0.8000,8.3988
0.8100,8.4176
0.8200,8.4364
0.8300,8.4528
0.8400,8.4716
0.8500,8.4880
0.8600,8.5068
0.8700,8.5232
0.8800,8.5397
0.8900,8.5585
0.9000,8.5749
0.9100,8.5913
0.9200,8.6078
0.9300,8.6266
0.9400,8.6430
0.9500,8.6594
0.9600,8.6759
0.9700,8.6923
0.9800,8.7087
0.9900,8.7228
1.0000,8.7393
