pupil_size,analytical_mm,before_mm,before_iris_lum,after_mm,after_iris_lum
-3.0000,2.7824,1.0353,0.7179,1.5220,0.2150
-2.7500,2.9344,1.1183,0.7147,1.5683,0.2150
-2.5000,3.1041,1.2128,0.6954,1.6224,0.2150
-2.2500,3.2942,1.2774,0.6567,1.6765,0.2150
-2.0000,3.5079,1.3587,0.5970,1.7461,0.2150
-1.7500,3.7503,1.4499,0.5014,1.8472,0.2150
-1.5000,4.0268,1.5549,0.3915,1.9583,0.2150
-1.2500,4.3426,1.6995,0.3319,2.1020,0.2150
-1.0000,4.7048,1.8712,0.3157,2.3266,0.2150
-0.7500,5.1198,2.0978,0.3128,2.6351,0.2150
-0.5000,5.5906,2.4145,0.3104,3.0244,0.2131
-0.2500,6.1154,2.7877,0.3061,3.4277,0.2089
+0.0000,6.6795,3.1412,0.2971,3.8298,0.2045
+0.2500,7.2553,3.5237,0.2872,4.2429,0.2012
+0.5000,7.8077,3.8953,0.2774,4.5634,0.1977
+0.7500,8.3078,4.1998,0.2683,4.7981,0.1943
+1.0000,8.7404,4.4384,0.2603,4.9957,0.1913
